date,price_normalized,26-18,26-20,26-22,26-24,24-18,24-20,24-22,22-18,22-20,20-18
01/07/2019 9:54,0.835222328,24.27582631,24.54338688,25.58411629,25.69470584,22.932,23.15,23.652,21.134,21.626,19.612
01/07/2019 10:00,0.84469646,24.33075317,24.60247323,25.84322697,25.89696744,22.964,23.163,23.697,21.147,21.668,19.683
01/07/2019 10:06,0.854170592,24.35273372,24.61506037,25.88230656,25.91357174,22.987,23.165,23.703,21.148,21.677,19.692
01/07/2019 10:12,0.862196019,24.37330172,24.62400717,25.90236941,25.93001859,23.011,23.166,23.705,21.149,21.682,19.697
01/07/2019 10:18,0.870221445,24.39390475,24.63161569,25.91456585,25.94267972,23.036,23.167,23.707,21.15,21.686,19.81
01/07/2019 10:24,0.878246872,24.41521851,24.63874969,25.92280282,25.95204034,23.063,23.167,23.708,21.15,21.837,19.932
01/07/2019 10:30,0.886272299,24.43750113,24.64577785,25.92873612,25.95909887,23.091,23.167,23.708,21.151,21.935,20
01/07/2019 10:36,0.894297725,24.46112925,24.65297114,25.93325259,25.96457844,23.12,23.168,23.709,21.151,21.922,20
01/07/2019 10:42,0.902323152,24.48635365,24.66049899,25.9368244,25.96894136,23.151,23.168,23.709,21.151,21.989,20
01/07/2019 10:48,0.910348578,24.51338487,24.66849176,25.93973365,25.97249309,23.183,23.168,23.777,21.155,22,20
01/07/2019 10:54,0.918374005,24.54225057,24.67701448,25.94214874,25.97541494,23.216,23.168,23.916,21.379,22,20
01/07/2019 11:00,0.926399432,24.5708028,24.68548054,25.94405911,25.97769278,23.246,23.168,23.914,21.405,22,20
01/07/2019 11:06,0.934424858,24.5767006,24.68723702,25.94440838,25.97810584,23.253,23.168,23.927,21.458,22,20
01/07/2019 11:12,0.937459084,24.58284343,24.6890699,25.9447581,25.97851823,23.259,23.279,23.999,21.631,22,20
01/07/2019 11:18,0.94049331,24.58931606,24.69100523,25.9451121,25.97893461,23.265,23.309,24,21.689,22,20
01/07/2019 11:24,0.943527536,24.59611402,24.69304262,25.94546897,25.97935224,23.272,23.46,24,21.662,22,20
01/07/2019 11:30,0.946561761,24.6033501,24.69521702,25.94583322,25.97977593,23.279,23.55,24,21.78,22,20
01/07/2019 11:36,0.949595987,24.61102555,24.69753026,25.94620325,25.98020641,23.287,23.462,24,21.821,22,20
01/07/2019 11:42,0.952630213,24.61924936,24.70001698,25.94658247,25.98064389,23.294,23.607,24,21.871,22,20
01/07/2019 11:48,0.955664439,24.62809438,24.70270153,25.94697198,25.9810904,23.302,23.57,24,21.904,22,20
01/07/2019 11:54,0.958698665,24.63756509,24.70558805,25.94736969,25.98154391,23.311,23.628,24,21.936,22,20
01/07/2019 12:00,0.961732891,24.64703677,24.70848795,25.94774908,25.98197491,23.319,23.674,24,21.935,22,20
01/07/2019 12:06,0.964767116,24.64966936,24.70929636,25.94785148,25.98209144,23.322,23.663,24,21.934,22,20
01/07/2019 12:12,0.966215651,24.65240062,24.7101362,25.94795638,25.98220969,23.324,23.675,24,21.935,22,20
01/07/2019 12:18,0.967664186,24.65520067,24.7109984,25.94806254,25.9823294,23.326,23.738,24,21.935,22,20
01/07/2019 12:24,0.969112721,24.65808447,24.71188768,25.94817045,25.98245039,23.329,23.744,24,21.935,22,20
01/07/2019 12:30,0.970561256,24.66103152,24.71279784,25.94827926,25.98257298,23.331,23.811,24,21.935,22,20
01/07/2019 12:36,0.972009791,24.66411724,24.71375234,25.94839166,25.98269956,23.334,23.859,24,21.935,22,20
01/07/2019 12:42,0.973458326,24.66735446,24.71475537,25.94850793,25.9828279,23.336,23.867,24,21.935,22,20
01/07/2019 12:48,0.974906861,24.67070321,24.71579478,25.94862648,25.98296123,23.339,23.91,24,21.935,22,20
01/07/2019 12:54,0.976355396,24.67422349,24.71688946,25.94874927,25.98309849,23.342,23.94,24,21.935,22,20
01/07/2019 13:00,0.977803931,24.67786086,24.71802276,25.94887421,25.99343856,23.345,23.957,24,21.935,22,20
01/07/2019 13:06,0.979252466,24.68107097,24.71902484,25.94898291,25.99983807,23.347,23.956,24,21.935,22,20
01/07/2019 13:12,0.980563952,24.6844549,24.72008311,25.94909594,25.99998875,23.633,23.956,24,21.935,22,20
01/07/2019 13:18,0.981875438,24.68803016,24.72120341,25.94921367,25.99998886,23.615,23.956,24,21.935,22,20
01/07/2019 13:24,0.983186924,24.69184328,24.72240075,25.94933739,25.99998899,23.483,23.956,24,21.935,22,20
01/07/2019 13:30,0.984498409,24.69591842,24.72368327,25.94946756,25.9999891,23.398,23.956,24,21.934,22,20
01/07/2019 13:36,0.985809895,24.70029871,24.72506521,25.94960519,25.99998923,23.413,23.956,24,21.935,22,20
01/07/2019 13:42,0.987121381,24.70503318,24.72656289,25.94975139,25.99998937,23.414,23.956,24,21.935,22,20
01/07/2019 13:48,0.988432867,24.71018174,24.72819634,25.94990746,25.99998952,23.415,23.956,24,21.935,22,20
01/07/2019 13:54,0.989744353,24.7157454,24.86171537,25.95007283,25.99998969,23.415,23.956,24,21.935,22,20
01/07/2019 14:00,0.991055838,24.72159245,25.69361563,25.95024312,25.99998985,23.417,23.956,24,21.934,22,20
01/07/2019 14:06,0.992367324,24.72550998,24.7984012,25.95035528,25.99998997,23.417,23.956,24,21.935,22,20
01/07/2019 14:12,0.993130592,24.72981104,25.06937145,25.95047669,25.99999008,23.418,23.956,24,21.934,22,20
01/07/2019 14:18,0.993893859,24.73454638,25.73424037,25.95060833,25.99999021,23.418,23.956,24,21.935,22,20
01/07/2019 14:24,0.994657127,24.73980758,25.14791948,25.9507522,25.99999033,23.42,23.956,24,21.935,22,20
01/07/2019 14:30,0.995420395,24.74562852,25.14311598,25.95090855,25.99999049,23.421,23.956,24,21.935,22,20
01/07/2019 14:36,0.996183662,24.75211132,25.13283977,25.95107933,25.99999064,23.422,23.956,24,21.935,22,20
01/07/2019 14:42,0.99694693,24.75937064,25.09728993,25.95126657,25.99999082,23.423,23.956,24,21.935,22,20
01/07/2019 14:48,0.997710197,24.76749501,25.52510719,25.95147139,25.99999101,23.424,23.956,24,21.935,22,20
01/07/2019 14:54,0.998473465,24.77652151,25.39785878,25.9516934,25.99999121,23.426,23.956,24,21.935,22,20
01/07/2019 15:00,0.999236732,24.78563047,25.02515038,25.95191189,25.9999914,23.427,23.956,24,21.935,22,20
01/07/2019 15:06,1,24.78589608,25.09855782,25.95191818,25.99999141,23.429,23.956,24,21.935,22,20
01/07/2019 15:12,0.998453746,24.78635378,25.20338459,25.95192901,25.99999141,23.428,23.956,24,21.934,22,20
