date,price_normalized,26-18,26-20,26-22,26-24,24-18,24-20,24-22,22-18,22-20,20-18,
01/07/2019 12:06,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 12:12,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 12:18,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 12:24,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 12:30,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 12:36,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 12:42,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 12:48,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 12:54,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 13:00,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 13:06,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 13:12,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 13:18,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 13:24,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 13:30,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 13:36,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 13:42,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 13:48,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 13:54,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 14:00,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 14:06,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 14:12,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 14:18,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 14:24,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 14:30,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 14:36,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 14:42,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 14:48,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 14:54,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 15:00,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 15:06,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 15:12,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 15:18,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 15:24,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 15:30,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 15:36,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 15:42,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 15:48,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 15:54,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 16:00,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 16:06,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 16:12,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 16:18,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 16:24,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 16:30,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 16:36,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
01/07/2019 16:42,0.36,25.99,25.99,26.00,26.00,24.00,24.00,24.00,22.00,22.00,20.00,
