Qsolar_window,Qsolar_bw ,Qsolar_roof,Qsolar_ sw1,Qsolar_sw2,To
210.4392766,102.762891,347.5976495,102.762891,552.1420931,29.72
213.3266633,105.5057624,370.3468698,105.5057624,571.8949915,30
215.8659647,108.3033426,394.0478861,108.3033426,590.946419,30.3
218.0671934,111.1554955,418.6763575,111.1554955,609.2541357,30.6
219.940294,114.0615941,444.2065975,114.0615941,626.7752456,30.9
221.4953075,117.020588,470.6116005,117.020588,643.466648,31.2
222.7424842,120.0310579,497.8630697,120.0310579,659.285373,31.5
225.6227086,125.238506,517.8620496,125.238506,674.3501829,31.8
223.4280252,127.0010615,538.1820029,127.0010615,677.9654419,32.1
221.0899276,128.7625675,558.8031237,128.7625675,680.7784291,32.4
218.620511,130.5217537,579.7050663,130.5217537,682.783942,32.7
216.0312145,132.2772047,600.8669649,132.2772047,683.9750594,33
213.3329881,134.0273749,622.2674542,134.0273749,684.343603,33.25
210.5364224,135.7706026,643.8846904,135.7706026,683.8805064,33.5
207.6518484,137.5051209,665.6963731,137.5051209,682.5761132,33.75
204.6894168,139.2290681,687.6797668,139.2290681,680.4204184,34
201.6591581,140.9404966,709.8117245,140.9404966,677.4032664,34.25
196.576533,140.9492736,726.5476849,140.9492736,669.0563781,34.5
191.5247505,140.9675088,743.3083069,140.9675088,659.9594629,34.75
186.5147058,140.9943529,760.0727433,140.9943529,650.1196795,35
181.5567451,141.028824,776.8199318,141.028824,639.5429571,35.25
176.6607658,141.0698225,793.528616,141.0698225,628.2343046,35.5
174.5742602,144.8050286,810.1773665,144.8050286,608.966214,35.85
169.8070759,144.6942699,826.7446022,144.6942699,596.7340897,36.2
165.1163521,144.5846397,843.208612,144.5846397,583.7461351,36.55
160.5122641,144.4750887,859.5475768,144.4750887,570.0095947,36.9
156.0046574,144.3644726,875.7395916,144.3644726,555.5313385,37.25
150.9438484,143.6248822,887.1865515,143.6248822,537.6778857,37.6
146.0383652,142.8794413,898.3550282,142.8794413,519.2899637,37.95
142.1276404,144.3907049,909.229839,142.1276404,500.3805039,38.3
141.3689143,146.9433511,919.7959186,141.3689143,480.9621829,38.65
140.6026533,149.3414377,930.0383345,140.6026533,461.0475277,39
139.8282137,151.5776044,939.9423011,139.8282137,440.6490071,38.9
138.6683367,153.5436651,949.4931947,138.6683367,410.171219,38.8
138.0098918,155.8334076,958.6765687,138.0098918,389.6595997,38.7
137.3238503,157.8941491,967.4781672,137.3238503,368.708452,38.6
136.6110484,159.7210953,975.8839404,136.6110484,347.3286799,38.5
136.026535,161.306772,981.0157682,136.026535,324.7642086,38.4
135.3665426,162.5805602,985.6656397,135.3665426,301.9636573,38.3
134.6317179,163.541407,989.8312581,134.6317179,278.9392976,38.2
133.823505,164.1891401,993.5106594,133.823505,255.704185,38.1
132.9450577,164.525365,996.7022141,132.9450577,232.2730569,38
132.0037521,164.5559386,999.4046277,132.0037521,208.6648382,38.05
131.0197257,164.2993797,1001.616942,131.0197257,184.9112067,38.1
130.0650929,163.8255039,1003.338534,130.0650929,161.0960955,38.15
